X,Species,Order,Clade_old,Clade,Family
1350,Acanthaceae_Acanthus_spp,Lamiales,Acanthoideae,Acanthoideae,Acanthaceae
1354,Acanthaceae_Avicennia_bicolor,Lamiales,Avicennioideae,Avicennioideae,Acanthaceae
1353,Acanthaceae_Avicennia_marina,Lamiales,Avicennioideae,Avicennioideae,Acanthaceae
1351,Acanthaceae_Barleria_spp,Lamiales,Acanthoideae,Acanthoideae,Acanthaceae
1348,Acanthaceae_Elytraria_spp,Lamiales,Nelsonioideae,Nelsonioideae,Acanthaceae
1352,Acanthaceae_Justicia_spp,Lamiales,Acanthoideae,Acanthoideae,Acanthaceae
1356,Acanthaceae_Mendoncia_spp,Lamiales,Thunbergioideae,Thunbergioideae,Acanthaceae
1347,Acanthaceae_Nelsonia_spp,Lamiales,Nelsonioideae,Nelsonioideae,Acanthaceae
1349,Acanthaceae_Staurogyne_spp,Lamiales,Nelsonioideae,Nelsonioideae,Acanthaceae
1355,Acanthaceae_Thunbergia_spp,Lamiales,Thunbergioideae,Thunbergioideae,Acanthaceae
764,Achariaceae_Acharia_tragodes,Malpighiales,NA,,Achariaceae
770,Achariaceae_Erythrospermum_phytolaccoides,Malpighiales,NA,,Achariaceae
766,Achariaceae_Hydnocarpus_spp,Malpighiales,NA,,Achariaceae
763,Achariaceae_Kiggelaria_spp,Malpighiales,NA,,Achariaceae
765,Achariaceae_Pangium_edule,Malpighiales,NA,,Achariaceae
1701,Achatocarpaceae_Achatocarpus_praecox,Caryophyllales,NA,,Achatocarpaceae
1702,Achatocarpaceae_Phaulothamnus_spinescens,Caryophyllales,NA,,Achatocarpaceae
8,Acoraceae_Acorus_calamus,Acorales,NA,,Acoraceae
9,Acoraceae_Acorus_gramineus,Acorales,NA,,Acoraceae
1552,Actinidiaceae_Actinidia_spp,Ericales,NA,,Actinidiaceae
1551,Actinidiaceae_Clematoclethra_spp,Ericales,NA,,Actinidiaceae
1550,Actinidiaceae_Saurauia_spp,Ericales,NA,,Actinidiaceae
1171,Adoxaceae_Adoxa_moschatellina,Dipsacales,Adoxeae,,Adoxaceae
1174,Adoxaceae_Sambucus_spp,Dipsacales,Adoxeae,,Adoxaceae
1173,Adoxaceae_Sinadoxa_corydalifolia,Dipsacales,Adoxeae,,Adoxaceae
1172,Adoxaceae_Tetradoxa_omeiensis,Dipsacales,Adoxeae,,Adoxaceae
1170,Adoxaceae_Viburnum_spp,Dipsacales,Viburnae,,Adoxaceae
1037,Aextoxicaceae_Aextoxicon_punctatum,Berberidopsidales,NA,,Aextoxicaceae
77,Afrothismieae_Afrothismia_gesnerioides,Dioscoreales,NA,,Afrothismieae
78,Afrothismieae_Afrothismia_winkleri,Dioscoreales,NA,,Afrothismieae
1618,Aizoaceae_Carpanthea_pomeridiana,Caryophyllales,Ruschioideae,Ruschioideae,Aizoaceae
1619,Aizoaceae_Conicosia_pugioniformis,Caryophyllales,Ruschioideae,Ruschioideae,Aizoaceae
